start	end	text
0	10520	Alors dans cette vidéo, je vais t'expliquer de A à Z le fonctionnement de la stratégie
10520	13160	qu'on va appliquer sur nos boutiques à partir du module 2.
13400	16640	Donc la stratégie de fond, elle est assez simple, je t'en ai parlé dans la vidéo précédente.
16980	19700	L'objectif, c'est de créer ce que j'appelle une muse.
20080	23920	Donc le terme de muse, il a été popularisé par Tim Ferriss et il fait référence à un
23920	25580	business quasi passif.
26000	29980	Je dis quasi passif car un business qui est vraiment full passif à 100% pour un business
29980	31380	pour moi, ça n'existe pas vraiment.
32340	36040	Nous, nos business, ils vont être quasi passifs dans le sens où il y a quand même au moins
36040	39140	une fois par mois où il va falloir faire un petit check, parler un petit peu avec les
39140	41060	équipes à qui on aura délégué certaines tâches.
41580	45000	Il va falloir entretenir le site, mais pour ça, si tu ne veux pas le faire toi-même, il
45000	48280	faudra le déléguer à des personnes qui vont ajouter des backlinks, je reviendrai sur ce
48280	51580	terme plus tard, ajouter des contenus de blog, ajouter des nouveaux produits.
51920	54860	Donc ces choses-là, c'est soit toi qui les feras, dans ce cas-là, ce ne sera pas un business
54860	58380	passif, soit tu les délégueras à certaines personnes, ce que je te recommande de faire,
58380	61260	mais dans ce cas-là, également, il faudra gérer ces personnes de temps en temps.
61420	65600	Donc moi, sur mes muses personnelles, je passe à peu près deux heures par mois à m'en
65600	68880	occuper parce que j'ai vraiment bien délégué toutes mes boutiques, donc j'ai des process
68880	69660	qui sont mis en place.
69780	72780	Tout ça, on le verra à la fin de la formation quand on aura monté tout le business.
73200	76880	Mais j'ai vraiment structuré de A à Z tout ce qu'il y a à faire comme tâche et
76880	80940	j'arrive du coup, via un bras droit également dans mon entreprise, à ne passer que deux heures
80940	83120	par jour à gérer plus d'une dizaine de boutiques.
83480	85820	Après, j'ai d'autres shops avec des associés où je bosse un peu plus dedans.
85820	89180	Enfin bref, globalement, mon business est quasi-passif.
89560	93000	Donc il fait référence, pour finir la phrase, à un business quasi-passif qui génère de
93000	94860	l'argent de façon automatisée.
95300	98440	L'idée, c'est d'avoir un business qui est au service de notre vie et pas l'inverse.
98580	99640	Donc ça, je pense que tu l'avais compris.
100000	101620	J'en ai parlé un petit peu dans la vidéo précédente.
