start	end	text
0	13200	Alors dans cette vidéo, je vais t'expliquer de A à Z le fonctionnement de la stratégie qu'on va appliquer sur nos boutiques à partir du module 2.
13200	19800	Donc la stratégie de fond, elle est assez simple, je t'en ai parlé dans la vidéo précédente. L'objectif, c'est de créer ce que j'appelle une muse.
19800	25800	Donc le terme de muse, il a été popularisé par Tim Ferriss et il fait référence à un business quasi-passif.
25800	31600	Je dis quasi-passif car un business qui est vraiment full passif à 100%, pour moi ça n'existe pas vraiment.
31600	38000	Nous, nos business, ils vont être quasi-passifs dans le sens où il y a quand même au moins une fois par mois où il va falloir faire un petit check,
38000	44800	parler un petit peu avec les équipes à qui on aura délégué certaines tâches. Il va falloir entretenir le site, mais pour ça, si tu veux pas le faire toi-même,
44800	51600	il faudra le déléguer à des personnes qui vont ajouter des backlinks, je reviendrai sur ce terme plus tard, ajouter des contenus de blog, ajouter des nouveaux produits.
51600	55200	Donc ces choses-là, c'est soit toi qui les feras, dans ces cas-là, ce ne sera pas un business passif,
55200	61200	soit tu les délégueras à certaines personnes, ce que je te recommande de faire, mais dans ce cas-là, également, il faudra gérer ces personnes de temps en temps.
61200	68000	Donc moi, sur mes muse personnels, je passe à peu près deux heures par mois à m'en occuper parce que j'ai vraiment bien délégué toutes mes boutiques,
68000	72800	donc j'ai des process qui sont mis en place. Tout ça, on le verra à la fin de la formation quand on aura monté tout le business.
72800	79400	Mais j'ai vraiment structuré de A à Z tout ce qu'il y a à faire comme tâches et j'arrive du coup, via un bras droit également dans mon entreprise,
79400	83200	à ne passer que deux heures par jour à gérer plus d'une dizaine de boutiques.
83200	89200	Après, j'ai d'autres shops avec des associés où je bosse un peu plus dedans. Enfin bref, globalement, mon business est quasi-passif.
89200	95200	Donc il fait référence, pour finir la phrase, à un business quasi-passif qui génère de l'argent de façon automatisée.
95200	99800	L'idée, c'est d'avoir un business qui est au service de notre vie et pas l'inverse. Donc ça, je pense que tu l'avais compris.
99800	105000	J'en ai parlé un petit peu dans la vidéo précédente. Alors voici le schéma de la création d'une muse avec ma méthode.
105000	109200	Donc ce schéma, tu l'as peut-être déjà vu sur mes vidéos YouTube ou sur Telegram ou d'autres endroits,
109200	115200	mais je vais te le réexpliquer ici globalement. L'idée, donc ça ici, ça va être nous. Ça, ça va être notre muse Shopify.
115200	122200	Donc ça va être la boutique Shopify. Pour commencer à travailler sur la muse, on va d'abord faire ce qu'on appelle le SEO on-site.
122200	127200	Donc le SEO, c'est toutes les techniques de référencement naturel sur Google pour avoir du trafic gratuit.
127200	135200	Et le SEO est décomposé en on-site, donc toutes les optimisations à l'intérieur du site. Et la partie off-site qui est juste ici, je vais revenir juste après.
135200	140200	C'est toutes les optimisations qui vont être extérieures au site. Donc le SEO on-site, la partie optimisation, c'est quoi ?
140200	145200	C'est déjà trouver une niche qui a du potentiel, une niche qui a des recherches mensuelles sur Google.
145200	152200	Par exemple, on va essayer de trouver une thématique sur laquelle il y a 10 000 personnes qui recherchent, mettons le mot-clé collier pour chien.
152200	158200	Si on voit qu'il y a également 5 000 personnes qui recherchent collier pour chat, on voit qu'il y a aussi 20 000 personnes qui recherchent l'e-chair pour chat.
158200	163200	Enfin bref, on va se dire bon, la thématique des objets pour chat et chien, ça peut être intéressant.
163200	168200	Je dis ça purement par hasard, mais dans la suite de la formation, je te montrerai comment trouver des thématiques dans le concret.
168200	172200	Ça, ça va être la partie SEO de base, trouver une niche qui est intéressante.
172200	180200	Ensuite, on va l'optimiser, donc ce que j'appelle on-site, c'est-à-dire ajouter beaucoup de produits et un produit sur notre site va être ciblé sur un mot-clé.
180200	186200	Pareil pour les collections, je ne vais pas préciser ici, mais chaque collection va être optimisée pour se référencer sur un mot-clé Google.
186200	191200	Et pareil pour notre homepage, la page principale et finalement pareil pour le blog.
191200	194200	En fait, chaque page sera optimisée sur un mot-clé bien précis.
194200	201200	Une fois qu'on aura fait toute la structure on-site, donc à ce moment-là, on aura déjà un site avec des produits qui seront optimisés pour le SEO de façon on-site.
201200	206200	On va partir sur ce qu'on appelle le SEA, donc le SIN en anglais intelligent.
206200	210200	Le SEA, qu'est-ce que c'est ? Ça ressemble au SEO, c'est en fait la partie Google Ads.
210200	215200	Donc de l'anglais, ça veut dire Search Engine Advertising, donc publicité pour advertising.
215200	220200	Et ce SEA intelligent, il va servir à une chose globalement, c'est de tester au préalable la niche.
220200	228200	C'est-à-dire qu'on va envoyer du trafic sur notre boutique via le SEA intelligent, mais sur des produits qui ont été optimisés au préalable sur des mots-clés qui sont recherchés par les utilisateurs de Google.
228200	234200	Et on va pouvoir voir rapidement s'il y a de la traction envers notre site, envers la niche et si on peut passer au reste de la méthode.
234200	238200	Maintenant, pourquoi on va faire des campagnes SEA intelligent et pas des campagnes manuelles ?
238200	241200	Parce qu'en intelligent, on va avoir des coûts par achat qui sont plus faibles.
241200	246200	En tout cas, moi je trouve et d'expérience, je peux te le dire, les CPA sont plus faibles parce que c'est 80-20.
246200	248200	Donc ça, je vais le répéter souvent en cours de la formation.
248200	250200	Moi, j'ai une philosophie qui est très 80-20.
250200	255200	Donc loi Pareto, si tu ne connais pas, c'est le fait que 80% des résultats proviennent de 20% des actions.
255200	260200	Donc l'idée, c'est toujours encore une fois de ne pas être trop perfectionniste et de se focaliser sur ce qui ramène des résultats.
260200	265200	Donc les campagnes SEA intelligentes, ce n'est pas les campagnes qui vont être les plus optimisées
265200	270200	puisque tu ne vas pas pouvoir gérer toi-même le coup par clic, tu ne vas pas pouvoir gérer exactement quel produit mettre en avant, etc.
270200	273200	C'est Google avec son intelligence artificielle qui va le faire lui-même.
273200	276200	Mais en contrepartie, ça se gère tout seul et c'est quand même très rentable.
276200	281200	Donc si tu veux, moi je préfère gagner un petit peu moins avec une campagne qui va me demander de 2h par mois à gérer
281200	290200	plutôt qu'avoir un petit peu plus de ventes mais devoir passer 5h par jour à gérer mes campagnes, à gérer les coups par clic, à gérer le ROAS, à gérer plein d'indicateurs.
290200	292200	Ça, c'est la philosophie 80-20.
292200	299200	Et enfin dernièrement, dernière raison pour laquelle on va utiliser du SEA intelligent, c'est parce qu'on a 400€ offerts pour 400€ dépensés
299200	301200	donc pour toute ouverture de compte Google Ads.
301200	303200	Ça, j'y reviendrai dans le module Google Ads.
303200	305200	Mais c'est vraiment un avantage qui est très intéressant.
305200	309200	Tu vas pouvoir te permettre de dépenser 400€ entre guillemets dans le vent.
309200	312200	Enfin, on va pas dépenser dans le vent puisqu'on va s'en servir pour avoir du leverage.
312200	318200	Mais le fait de pouvoir dépenser 400€ offerts, ça te laisse quand même assez de marge pour tester un site sans te ruiner.
318200	323200	Donc les campagnes SEA intelligentes, elles vont générer des ventes et en plus de ça, elles vont ramener du trafic.
323200	326200	Et le trafic, c'est un indicateur SEO qui apporte de la puissance.
326200	332200	Donc ce trafic-là qui va venir des campagnes, il va booster un petit peu tout le travail qu'on avait fait au préalable sur la partie SEO du site.
